Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Notes,RPE
2026-03-27,Back & Triceps✝️,53m,Lat Pulldown - Wide Grip (Cable),F,165.0,6.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Lat Pulldown - Wide Grip (Cable),F,150.0,7.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-27,Back & Triceps✝️,53m,Single Arm Tricep Extension (Cable),F,35.0,7.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Single Arm Tricep Extension (Cable),F,30.0,7.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Arsenal Strength Reload T Row,W,50.0,8.0,"2x6-8(F), 4 mins",
2026-03-27,Back & Triceps✝️,53m,Arsenal Strength Reload T Row,F,110.0,7.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Arsenal Strength Reload T Row,F,110.0,3.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Tricep Press (Machine),F,220.0,8.0,"2x6-8(F), 3 mins",10.0
2026-03-27,Back & Triceps✝️,53m,Tricep Press (Machine),F,225.0,3.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Arsenal Strength Reloaded Iso Multi Row,F,160.0,8.0,1x6-8(F),10.0
2026-03-28,Legs 🐓 ,52m,Romanian Deadlift (Barbell),W,95.0,10.0,1x6-8(F),
2026-03-28,Legs 🐓 ,52m,Romanian Deadlift (Barbell),W,135.0,8.0,,
2026-03-28,Legs 🐓 ,52m,Romanian Deadlift (Barbell),F,235.0,4.0,,10.0
2026-03-28,Legs 🐓 ,52m,Pendulum Squat (Machine),W,110.0,10.0,"1x6-8(F), 4 mins",
2026-03-28,Legs 🐓 ,52m,Pendulum Squat (Machine),W,160.0,6.0,,
2026-03-28,Legs 🐓 ,52m,Pendulum Squat (Machine),F,210.0,8.0,,10.0
2026-03-28,Legs 🐓 ,52m,Hip Adductor (Machine),F,95.0,10.0,1x8-10(F),10.0
2026-03-28,Legs 🐓 ,52m,Standing Calf Raise (Machine),F,280.0,7.0,"2x8-10(F), 3 mins",10.0
2026-03-28,Legs 🐓 ,52m,Single-Leg Leg Extension (Machine),F,110.0,6.0,"2x6-8(F), 3 mins",10.0
2026-03-29,Shoulders🪨,1h 15m,Cable Crunch,F,70.0,10.0,"3x8-10, 3 mins",10.0
2026-03-29,Shoulders🪨,1h 15m,Cable Crunch,F,75.0,7.0,,10.0
2026-03-29,Shoulders🪨,1h 15m,Cable Crunch,F,75.0,6.0,,10.0
2026-03-29,Shoulders🪨,1h 15m,Arsenal Strength Shoulder Press (Machine),W,18.0,10.0,"2x6-8(F), 3 mins",
2026-03-29,Shoulders🪨,1h 15m,Arsenal Strength Shoulder Press (Machine),W,43.0,8.0,,
2026-03-29,Shoulders🪨,1h 15m,Arsenal Strength Shoulder Press (Machine),F,108.0,7.0,,10.0
2026-03-29,Shoulders🪨,1h 15m,Arsenal Strength Shoulder Press (Machine),F,108.0,6.0,,10.0
2026-03-29,Shoulders🪨,1h 15m,Arsenal Strength Lateral Raise (Machine),F,80.0,10.0,"2x8-10(F), 3 mins",10.0
2026-03-29,Shoulders🪨,1h 15m,Arsenal Strength Lateral Raise (Machine),F,85.0,7.0,,10.0
2026-03-29,Shoulders🪨,1h 15m,Rear Delt Fly (Cable),F,20.0,11.0,"2x8-10(F), 3 mins",10.0
2026-03-31,Chest & Biceps🃏,58m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-31,Chest & Biceps🃏,58m,Single Arm Preacher Curl (Machine),F,72.5,7.0,,10.0
2026-03-31,Chest & Biceps🃏,58m,Single Arm Preacher Curl (Machine),F,70.0,6.0,,10.0
2026-03-31,Chest & Biceps🃏,58m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-03-31,Chest & Biceps🃏,58m,Incline Bench Press (Smith Machine),W,70.0,8.0,,
2026-03-31,Chest & Biceps🃏,58m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-03-31,Chest & Biceps🃏,58m,Incline Bench Press (Smith Machine),F,165.0,6.0,,10.0
2026-03-31,Chest & Biceps🃏,58m,Incline Bench Press (Smith Machine),F,160.0,5.0,,10.0
2026-03-31,Chest & Biceps🃏,58m,Forearm Curl (Cable),F,40.0,8.0,"2x6-8(F), 3 mins",10.0
